Contig_Names,Name
s56.ctg000071c,complete.14
s133.ctg000177c,complete.26
s32.ctg000038c,complete.8
s112.ctg000152c,complete.23
s1.ctg000569l,complete.65
s1.ctg000331l,complete.43
s1.ctg000219l,complete.28
s317.ctg000448c,complete.57
s22.ctg000027c,complete.5
s1.ctg000788l,complete.86
s1.ctg000146l,complete.20
s1.ctg000778l,complete.85
s1629.ctg002300c,complete.143
s223.ctg000290c,complete.38
s53.ctg000126l,complete.19
s2214.ctg003167c,complete.165
s266.ctg000364l,complete.48
s79.ctg000100c,complete.17
s116.ctg000156c,complete.24
s271.ctg000379l,complete.49
s760.ctg001077l,complete.98
s52.ctg000482l,complete.60
s536.ctg000759l,semibin2_3
s5341.ctg007718c,metabat2.42
s1.ctg002133l,semibin2_232
s535.ctg000758l,metabat2.793
s562.ctg001344l,semibin2_23
s505.ctg000719c,metabat2.330
s533.ctg000755l,metabat2.330
s411.ctg000587l,semibin2_22
s484.ctg000694l,semibin2_22
s917.ctg001288c,semibin2_1
s2306.ctg003303l,semibin2_1
s1.ctg001225l,metabat2.853
s1.ctg002524l,metabat2.853
s1.ctg000422l,metabat2.656
s1.ctg003810l,metabat2.656
s1.ctg000602l,metabat2.144
s1.ctg002521l,metabat2.144
s1875.ctg002678l,metabat2.1049
s2675.ctg003839l,metabat2.1049
s53.ctg000067l,metabat2.809
s53.ctg000401l,metabat2.809
s562.ctg000906l,metabat2.1227_sub
s1370.ctg001917l,metabat2.1227_sub
s2276.ctg003262l,metabat2.279
s6318.ctg009142l,metabat2.279
s27665.ctg040489l,metabat2.279
s1.ctg000002l,semibin2_8
s1.ctg004508l,semibin2_8
s1.ctg015087l,semibin2_8
s714.ctg001012l,metabat2.838
s1439.ctg002021c,metabat2.838
s19010.ctg027450c,metabat2.838
s1.ctg000044l,metabat2.161
s1.ctg000409l,metabat2.161
s6731.ctg009745l,metabat2.161
s3500.ctg005047l,metabat2.426
s4098.ctg005917l,metabat2.426
s8942.ctg012970l,metabat2.426
s1.ctg002056l,semibin2_51
s21478.ctg031123l,semibin2_51
s21592.ctg031276l,semibin2_51
s1.ctg000421l,semibin2_43
s1.ctg000926l,semibin2_43
s1.ctg005434l,semibin2_43
s25.ctg000030l,semibin2_32
s1.ctg003986l,semibin2_32
s1.ctg006066l,semibin2_32
s1.ctg001020l,metabat2.680
s1.ctg001674l,metabat2.680
s1.ctg003389l,metabat2.680
s1.ctg004059l,metabat2.680
s1621.ctg002289l,metabat2.1017
s4052.ctg005847l,metabat2.1017
s6355.ctg009194l,metabat2.1017
s9476.ctg013723l,metabat2.1017
s2315.ctg003316l,semibin2_60
s5466.ctg007901l,semibin2_60
s21647.ctg031358l,semibin2_60
s27008.ctg039498l,semibin2_60
s136.ctg000180l,semibin2_66
s1076.ctg001516l,semibin2_66
s2460.ctg003524l,semibin2_66
s5106.ctg007378l,semibin2_66
s10530.ctg015241l,semibin2_66
s10.ctg000012l,metabat2.629
s575.ctg000818l,metabat2.629
s1721.ctg002436l,metabat2.629
s3468.ctg005006l,metabat2.629
s7896.ctg011449l,metabat2.629
s32793.ctg048413l,metabat2.629
s571.ctg000813l,semibin2_16
s1345.ctg001883l,semibin2_16
s1900.ctg002709l,semibin2_16
s1.ctg005455l,semibin2_16
s1.ctg005597l,semibin2_16
s1.ctg009018l,semibin2_16
s12636.ctg018232l,semibin2_16
s1475.ctg002072l,semibin2_101
s1475.ctg002197l,semibin2_101
s1475.ctg002917l,semibin2_101
s1475.ctg003049l,semibin2_101
s1475.ctg005405l,semibin2_101
s4216.ctg006110l,semibin2_101
s1475.ctg011962l,semibin2_101
s1.ctg000047l,semibin2_7
s1.ctg001485l,semibin2_7
s1.ctg002579l,semibin2_7
s1.ctg002671l,semibin2_7
s1.ctg009014l,semibin2_7
s1.ctg010590l,semibin2_7
s26686.ctg038999l,semibin2_7
s36141.ctg053818l,semibin2_7
s562.ctg001324l,semibin2_96
s1293.ctg001812l,semibin2_96
s562.ctg003907l,semibin2_96
s3566.ctg005146l,semibin2_96
s562.ctg006349l,semibin2_96
s562.ctg008395l,semibin2_96
s20358.ctg029423l,semibin2_96
s25450.ctg037118l,semibin2_96
s1.ctg001179l,metabat2.843
s1.ctg001245l,metabat2.843
s1.ctg003179l,metabat2.843
s1.ctg004132l,metabat2.843
s1.ctg004443l,metabat2.843
s1.ctg008587l,metabat2.843
s1.ctg010107l,metabat2.843
s23209.ctg033704l,metabat2.843
s1.ctg000266l,semibin2_83
s259.ctg000350l,semibin2_83
s1.ctg002238l,semibin2_83
s1620.ctg002288l,semibin2_83
s3831.ctg005545l,semibin2_83
s1.ctg006039l,semibin2_83
s43296.ctg068558l,semibin2_83
s43486.ctg069072l,semibin2_83
s1.ctg000252l,metabat2.741
s1.ctg000473l,metabat2.741
s1.ctg000579l,metabat2.741
s1.ctg001954l,metabat2.741
s1.ctg012714l,metabat2.741
s1.ctg017417l,metabat2.741
s24161.ctg035136l,metabat2.741
s27438.ctg040143l,metabat2.741
s1.ctg000222l,semibin2_6
s1.ctg000461l,semibin2_6
s1.ctg001738l,semibin2_6
s1.ctg002735l,semibin2_6
s2185.ctg003125l,semibin2_6
s6892.ctg009964l,semibin2_6
s10482.ctg015167l,semibin2_6
s1.ctg021018l,semibin2_6
s25944.ctg037899l,semibin2_6
s9.ctg000011l,metabat2.669
s181.ctg000239l,metabat2.669
s577.ctg000820c,metabat2.669
s945.ctg001325l,metabat2.669
s1661.ctg002352l,metabat2.669
s2470.ctg003543l,metabat2.669
s2849.ctg004098l,metabat2.669
s8494.ctg012311l,metabat2.669
s18361.ctg026495l,metabat2.669
s1230.ctg001728l,metabat2.388
s1622.ctg002291l,metabat2.388
s1728.ctg002444l,metabat2.388
s5204.ctg007521l,metabat2.388
s1.ctg010434l,metabat2.388
s1.ctg013634l,metabat2.388
s12545.ctg018102l,metabat2.388
s14359.ctg020728l,metabat2.388
s18606.ctg026844l,metabat2.388
s110.ctg000149l,metabat2.824
s776.ctg001099l,metabat2.824
s2136.ctg003054l,metabat2.824
s4453.ctg006440l,metabat2.824
s110.ctg006918l,metabat2.824
s6340.ctg009172c,metabat2.824
s11511.ctg016675l,metabat2.824
s13223.ctg019074l,metabat2.824
s15684.ctg022600l,metabat2.824
s248.ctg000333l,semibin2_31
s2732.ctg003923l,semibin2_31
s3007.ctg004328l,semibin2_31
s3109.ctg004491l,semibin2_31
s7410.ctg010725l,semibin2_31
s8484.ctg012291l,semibin2_31
s9440.ctg013668l,semibin2_31
s11339.ctg016420l,semibin2_31
s34811.ctg051638l,semibin2_31
s1.ctg000411l,metabat2.807
s1.ctg000604l,metabat2.807
s1.ctg003299l,metabat2.807
s1.ctg004045l,metabat2.807
s1.ctg004124l,metabat2.807
s1.ctg005857l,metabat2.807
s1.ctg007765l,metabat2.807
s1.ctg020697l,metabat2.807
s27578.ctg040353l,metabat2.807
s1.ctg000106l,metabat2.34
s1.ctg001056l,metabat2.34
s1.ctg001482l,metabat2.34
